id,root,affix,info,pos,tense,person,possession,cases,verb_voice1,verb_voice2,verb_voice3,verb_func,impulsion,copula,singular,plural,question,negative,lexical_affixes,syntactical_affixes
74,bor/kuyla,(a)rdi,"",VERB,Past,3,,,,,,Participle,Message,,1,,,,(a)r,di
127,yugur/sakra,(a)rdilar,"",VERB,Past,3,,,,,,Participle,Imperative,,,1,,,(a)r,di lar
1696,chiq/ayt,(a)rdim,"istak mayl",VERB,,,,,,,,,Imperative,,1,,,,,
1697,chiq/ayt,(a)rding,"istak mayl",VERB,,,,,,,,,Imperative,,1,,,,,
1310,bor/ishla,(a)rkan,"borar ekan shakli uchun",VERB,Past,3,,,,,,Participle,Message,,1,,,,(a),kan
128,yugur/sakra,(a)rmidi,"",VERB,Past,3,,,,,,Participle,Message,,,,1,,(a)r mi,di
130,yugur/sakra,(a)rmiding,"",VERB,Past,2,,,,,,Participle,,,,,1,,(a)r mi,di ng
131,yugur/sakra,(a)rmidingiz,"",VERB,Past,2,,,,,,Participle,,,,,1,,(a)r mi,di ngiz
64,bor/kuyla,(a)yin,"",VERB,Future,1,,,,,,Finite,Imperative,,,,,,(a)yin,
55,bor/kuyla,(a)ylik,"",VERB,Future,1,,,,,,Finite,Imperative,,,,,,(a)ylik,
57,bor/kuyla,(a)ylikmi,"",VERB,Future,1,,,,,,Finite,,,,,1,,(a)ylik mi,
56,bor/kuyla,(a)ymi,"",VERB,Future,1,,,,,,Finite,,,1,,1,,(a)y mi,
111,kel/kuyla,(a)yotgan,"",VERB,Present,3,,,,,,Participle,,,,,,,-,(a)yotgan
1215,uxla/ket,(a)yotganda,"",VERB,Present,3,,,,,,Participle,,,,,,,-,(a)yotganda
1709,yugur/sakra,(a)yotgandek,"FEL",VERB,Present,3,,,,,,Participle,,,,,,,,
651,kel/kuyla,(a)yotgandi,"",VERB,Present,3,,,,,,Participle,Message,,,,,,-,(a)yotgan di
1205,uxla/ket,(a)yotgandik,"",VERB,Present,,,,,,,Participle,Message,,,1,,,,
1213,uxla/ket,(a)yotgandikmi,"",VERB,Present,1,,,,,,Participle,,,,1,1,,(a)yotgan mi,di
1208,uxla/ket,(a)yotgandilar,"",VERB,Past,,,,,,,,,,,1,,,,
1206,uxla/ket,(a)yotgandim,"",VERB,Past,,,,,,,,,,,,,,,
1193,uxla/ket,(a)yotgandimi,"",VERB,Past,,,,,,,,,,,,,,,
1214,uxla/ket,(a)yotgandimmi,"",VERB,Present,1,,,,,,Participle,,,,,1,,(a)yotgan mi,di m
1207,uxla/ket,(a)yotganding,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,di ng
1209,uxla/ket,(a)yotgandingiz,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,di ngiz
1212,uxla/ket,(a)yotgandingizmi,"",VERB,Past,,,,,,,,,,1,,1,,,
1211,uxla/ket,(a)yotgandingmi,"",VERB,Past,,,,,,,,,,1,,1,,,
253,qo`n/uxla,(a)yotgani,"qo`n{ayotgani} tasvirlangan video",VERB,Present,3,3,Accusative,,,,Participle,,,1,,,,(a)yotgan,i
254,qo`n/uxla,(a)yotganida,"qo`n{ayotganida} tasvirga olingan video",VERB,Present,3,,Locative,,,,Participle,,,1,,,,(a)yotgan,i da
646,kel/kuyla,(a)yotganidan,"",VERB,Present,3,3,Ablative,,,,Participle,,,1,,,,(a)yotgan,i dan
1217,uxla/ket,(a)yotganiga,"",VERB,Present,3,3,Dative,,,,Participle,,,1,,,,(a)yotgan,i ga
1194,uxla/ket,(a)yotganim,"",VERB,Present,3,3,,,,,Participle,,,1,,,,(a)yotgan,im
1196,uxla/ket,(a)yotganimda,"",VERB,Present,1,1,,,,,Participle,,,1,,,,(a)yotgan,im da
1197,uxla/ket,(a)yotganimdan,"",VERB,Present,1,,Ablative,,,,Participle,,,1,,,,(a)yotgan,im dan
1707,yugur/sakra,(a)yotganimdek,"FEL",VERB,Present,1,,,,,,Participle,,,1,,,,,
1198,uxla/ket,(a)yotganimga,"",VERB,Present,1,,,,,,Participle,,,,,,,(a)yotgan,im ga
1701,bor/uxla,(a)yotganimiz,"",VERB,,,,,,,,,,,,,,,,
1700,bor/uxla,(a)yotganimizda,"",VERB,,,,,,,,,,,,,,,,
1702,bor/uxla,(a)yotganimizga,"",VERB,,,,,,,,,,,,,,,,
1195,uxla/ket,(a)yotganimni,"",VERB,Present,1,,Accusative,,,,Participle,,,,,,,(a)yotgan,im ni
1188,uxla/ket,(a)yotganing,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ing
1189,uxla/ket,(a)yotganingda,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ing da
1190,uxla/ket,(a)yotganingdan,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ing dan
1191,uxla/ket,(a)yotganingga,"",VERB,Present,3,,,,,,Participle,,,,,,,(a)yotgan,ing ga
1200,uxla/ket,(a)yotganingiz,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ingiz
1202,uxla/ket,(a)yotganingizda,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ingiz da
1203,uxla/ket,(a)yotganingizdan,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ingiz dan
1204,uxla/ket,(a)yotganingizga,"",VERB,Present,2,,,,,,Participle,,,,,,,(a)yotgan,ingiz ga
1201,uxla/ket,(a)yotganingizni,"",VERB,Present,2,,Accusative,,,,Participle,,,,,,,(a)yotgan,ingiz ni
1192,uxla/ket,(a)yotganingni,"",VERB,Present,2,,Accusative,,,,Participle,,,,,,,(a)yotgan,ing ni
255,qo`n/uxla,(a)yotganini,"qo`n{ayotganini} tasvirga oldi",VERB,Present,3,,Accusative,,,,Participle,,,,,,,(a)yotgan,i ni
114,kel/kuyla,(a)yotganlar,"",VERB,Present,3,,,,,,Participle,,,,1,,,(a)yotgan lar,
115,kel/kuyla,(a)yotganlardan,"",VERB,Present,3,,,,,,Participle,,,,1,,,(a)yotgan lar,dan
116,kel/kuyla,(a)yotganlardanmi,"",VERB,Present,3,,Ablative,,,,Participle,,,,1,1,,(a)yotgan lar mir,dan
117,kel/kuyla,(a)yotganlardanmisiz,"",VERB,Present,2,,Ablative,,,,Participle,,1,,1,1,,(a)yotgan lar mi,dan siz
641,kel/kuyla,(a)yotganlarimiz,"",VERB,Present,1,,,,,,Participle,,,,1,,,(a)yotgan lar,imiz
643,kel/kuyla,(a)yotganlarimizda,"",VERB,Present,1,,Locative,,,,Participle,,,,1,,,(a)yotgan lar,imiz da
642,kel/kuyla,(a)yotganlarimizdan,"",VERB,Present,1,,Ablative,,,,Participle,,,,1,,,(a)yotgan lar,imiz dan
644,kel/kuyla,(a)yotganlarimizni,"",VERB,Present,1,,Accusative,,,,Participle,,,,1,,,(a)yotgan lar,imiz ni
638,kel/kuyla,(a)yotganlaring,"",VERB,Present,2,,,,,,Participle,,,,1,,,(a)yotgan lar,ing
640,kel/kuyla,(a)yotganlaringga,"",VERB,Present,2,,Dative,,,,Participle,,,,1,,,(a)yotgan lar,ing ga
635,kel/kuyla,(a)yotganlaringiz,"",VERB,Present,2,,,,,,Participle,,,,1,,,(a)yotgan lar,ingiz
