id,root,affix,confidence,info,pos,tense,person,cases,singular,plural,question,negative,lexical_affixes,syntactical_affixes
1,kitob,(i)m,0.1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,kitob,(i)miz,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
3,opa,(i)ng,0.1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,kitob,(i)ngiz,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,opa,(s)i,0.1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,kitob,Ga,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,kitob,da,0.1,,NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
8,kitob,dan,1,,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
9,kun/oy,igacha,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,kitob,lar,1,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
10,kel/kuyla,(a)yotgandi,1,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
11,kitob,larda,1,,NULL,NULL,NULL,Orin-payt,NULL,1,NULL,NULL,NULL,NULL
12,kitob,lardan,1,,NULL,NULL,NULL,Chiqish,NULL,1,NULL,NULL,NULL,NULL
13,kitob,larga,1,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
14,kitob,lari,1,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
15,kitob,larimiz,1,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
16,kitob,larimizni,1,,NULL,NULL,NULL,Tushum,NULL,1,1,NULL,NULL,NULL
17,kitob,laring,1,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
18,kitob,laringiz,1,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19,kitob,laringizni,1,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
20,kitob,larni,1,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
21,kitob,larning,1,,NULL,NULL,NULL,Qaratqich,NULL,1,NULL,NULL,NULL,NULL
22,kitob,mi,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
23,kitob,ni,1,,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
24,kitob,ning,1,,NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
27,kitob,larini,1,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
32,kitob/dada,(i)mmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
33,kitob/dada,(i)mizmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
35,kitob/dada,(i)ngmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
36,kitob/dada,(i)ngizmi,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
38,kitob/dada,(s)imi,1,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
39,dada,mlar,1,hurmatlash manosi,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
40,dada,mizlar,1,hurmatlash manosi,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
