id,root,affix,info,pos,tense,person,cases,singular,plural,question,negative,lexical_affixes,syntactical_affixes
1,kitob,(i)m,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,kitob,(i)miz,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
3,opa,(i)ng,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,kitob,(i)ngiz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,opa,(s)i,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,kitob,Ga,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,kitob,da,,NULL,NULL,NULL,Orin-payt,NULL,NULL,NULL,NULL,NULL,NULL
8,kitob,dan,,NULL,NULL,NULL,Chiqish,NULL,NULL,NULL,NULL,NULL,NULL
9,kun/oy,igacha,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,kitob,lar,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
11,kitob,larda,,NULL,NULL,NULL,Orin-payt,NULL,1,NULL,NULL,NULL,NULL
12,kitob,lardan,,NULL,NULL,NULL,Chiqish,NULL,1,NULL,NULL,NULL,NULL
13,kitob,larga,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
14,kitob,lari,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
15,kitob,larimiz,,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
16,kitob,larimizni,,NULL,NULL,NULL,Tushum,NULL,1,1,NULL,NULL,NULL
17,kitob,laring,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
18,kitob,laringiz,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
19,kitob,laringizni,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
20,kitob,larni,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
21,kitob,larning,,NULL,NULL,NULL,Qaratqich,NULL,1,NULL,NULL,NULL,NULL
22,kitob,mi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
23,kitob,ni,,NULL,NULL,NULL,Tushum,NULL,NULL,NULL,NULL,NULL,NULL
24,kitob,ning,,NULL,NULL,NULL,Qaratqich,NULL,NULL,NULL,NULL,NULL,NULL
27,kitob,larini,,NULL,NULL,NULL,Tushum,NULL,1,NULL,NULL,NULL,NULL
32,kitob/dada,(i)mmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
33,kitob/dada,(i)mizmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
35,kitob/dada,(i)ngmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
36,kitob/dada,(i)ngizmi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
38,kitob/dada,(s)imi,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
39,dada,mlar,hurmatlash manosi,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
40,dada,mizlar,hurmatlash manosi,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL
41,dada,ngizlar,hurmatlash manosi,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
42,dada,nglar,hurmatlash manosi,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
43,kitob,dami,,NULL,NULL,NULL,Orin-payt,NULL,NULL,1,NULL,NULL,NULL
44,kitob,danmi,,NULL,NULL,NULL,Chiqish,NULL,NULL,1,NULL,NULL,NULL
45,kitob,gami,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
47,o'quvchi,siz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,dada,(s)isiz,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,dada,(s)iman,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
51,o'qituvchi,(s)imisiz,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
